dimension,funcion,algoritmo,variante,repeticion,mejor_final,tiempo_total,iter_mejor
10,Ackley,PSO,PSO_explotacion,16,5.230195495086857,0.07863419999921462,98
10,Ackley,PSO,PSO_explotacion,17,5.54730876155725,0.0791289000044344,98
10,Ackley,PSO,PSO_explotacion,18,7.880510269197821,0.07922710000275401,99
10,Ackley,PSO,PSO_explotacion,19,6.020904869286625,0.07843539999885252,99
10,Ackley,PSO,PSO_explotacion,20,7.242557174112882,0.07932200000504963,99
10,Ackley,PSO,PSO_explotacion,21,5.911030444309304,0.07847100000071805,99
10,Ackley,PSO,PSO_explotacion,22,6.292435791580466,0.07844940000359202,99
10,Ackley,PSO,PSO_explotacion,23,2.2814078588582203,0.07877170000574552,99
10,Ackley,PSO,PSO_explotacion,24,4.380018994948298,0.07858269999996992,99
10,Ackley,PSO,PSO_explotacion,25,6.088911528386912,0.07913180000468856,99
10,Ackley,PSO,PSO_explotacion,26,5.965954978213045,0.07855749999725958,99
10,Ackley,PSO,PSO_explotacion,27,8.967881141190603,0.07878989999881014,99
10,Ackley,PSO,PSO_explotacion,28,4.840531222860832,0.07846560000325553,99
10,Ackley,PSO,PSO_explotacion,29,7.484392915176233,0.07884349999949336,99
10,Ackley,AG,AG_base,0,0.7112278067788478,0.6896963000035612,76
10,Ackley,AG,AG_base,1,0.502269912526224,0.6887629999982892,76
10,Ackley,AG,AG_base,2,0.9587706535715594,0.6890189999976428,98
10,Ackley,AG,AG_base,3,0.605920143436983,0.6884271000017179,97
10,Ackley,AG,AG_base,4,1.3231270643227409,0.6900007000003825,94
10,Ackley,AG,AG_base,5,0.574697545818506,0.6886456000065664,99
10,Ackley,AG,AG_base,6,1.0170027289855779,0.6871930999986944,95
10,Ackley,AG,AG_base,7,0.8813175917308063,0.701595599995926,87
10,Ackley,AG,AG_base,8,0.5256192337099432,0.69148370000039,91
10,Ackley,AG,AG_base,9,0.33305046585807974,0.6887323999981163,77
10,Ackley,AG,AG_base,10,0.5401253652249705,0.6894279999978608,94
10,Ackley,AG,AG_base,11,0.6892428205590133,0.6954598000011174,98
10,Ackley,AG,AG_base,12,0.3463634334312222,0.6909232000034535,97
10,Ackley,AG,AG_base,13,0.41755891112986676,0.6919382999985828,86
10,Ackley,AG,AG_base,14,0.24280779462039037,0.6913520000016433,77
10,Ackley,AG,AG_base,15,0.5701796333617648,0.7004455999995116,94
10,Ackley,AG,AG_base,16,0.5880338528738318,0.7598212000011699,98
10,Ackley,AG,AG_base,17,0.855655098063878,0.6964766000019154,99
10,Ackley,AG,AG_base,18,0.3795087416586793,0.6902487999977893,95
10,Ackley,AG,AG_base,19,1.3878559489670264,0.6876928999990923,94
10,Ackley,AG,AG_base,20,0.5211361297423704,0.6916005000020959,98
10,Ackley,AG,AG_base,21,0.6564267524717633,0.6972141000005649,99
10,Ackley,AG,AG_base,22,0.5232768233194922,0.6862239000038244,97
10,Ackley,AG,AG_base,23,0.7928191217908283,0.6883034999991651,97
10,Ackley,AG,AG_base,24,0.7173056583272381,0.6908371000026818,82
10,Ackley,AG,AG_base,25,0.8774531230880389,0.6915704000057303,77
10,Ackley,AG,AG_base,26,1.1230063039880744,0.6899450999990222,97
10,Ackley,AG,AG_base,27,0.4127613583950631,0.6924220000000787,99
10,Ackley,AG,AG_base,28,0.22327206423818113,0.6903690999970422,92
10,Ackley,AG,AG_base,29,0.3005732712478957,0.6913064999971539,98
10,Griewank,PSO,PSO_estandar,0,0.5799188061659233,0.05939859999489272,87
10,Griewank,PSO,PSO_estandar,1,0.14839864067667963,0.05832780000491766,98
10,Griewank,PSO,PSO_estandar,2,0.10372690796143835,0.05816849999973783,99
10,Griewank,PSO,PSO_estandar,3,0.12984496142001944,0.058540799996990245,97
10,Griewank,PSO,PSO_estandar,4,0.19477985090375682,0.0587152000007336,99
10,Griewank,PSO,PSO_estandar,5,0.5340312453191829,0.05936389999988023,98
10,Griewank,PSO,PSO_estandar,6,0.37936311396706723,0.060149599994474556,98
10,Griewank,PSO,PSO_estandar,7,0.31534049961086363,0.06158020000293618,98
10,Griewank,PSO,PSO_estandar,8,0.27918869532171753,0.05842600000323728,87
10,Griewank,PSO,PSO_estandar,9,0.1351801417855769,0.058238699995854404,95
10,Griewank,PSO,PSO_estandar,10,0.17661582768254547,0.05829989999620011,99
10,Griewank,PSO,PSO_estandar,11,0.2838711510713583,0.058673500003351364,93
10,Griewank,PSO,PSO_estandar,12,0.2601566139652616,0.05861259999801405,93
10,Griewank,PSO,PSO_estandar,13,0.2375159153879991,0.0586944999959087,97
10,Griewank,PSO,PSO_estandar,14,0.22187885723076473,0.058780200000910554,99
10,Griewank,PSO,PSO_estandar,15,0.10445204312419865,0.05789370000275085,97
10,Griewank,PSO,PSO_estandar,16,0.15148870289162542,0.05826369999704184,96
10,Griewank,PSO,PSO_estandar,17,0.2508786708467785,0.05789640000148211,94
10,Griewank,PSO,PSO_estandar,18,0.4032250754784019,0.057787700003245845,95
10,Griewank,PSO,PSO_estandar,19,0.1155199845040411,0.06219660000351723,97
10,Griewank,PSO,PSO_estandar,20,0.12758985236652887,0.06116930000280263,98
10,Griewank,PSO,PSO_estandar,21,0.27671513507858303,0.059469300002092496,99
10,Griewank,PSO,PSO_estandar,22,0.23107181346422156,0.058461199994781055,99
10,Griewank,PSO,PSO_estandar,23,0.1427191616245258,0.05807759999879636,97
10,Griewank,PSO,PSO_estandar,24,0.0895850229891656,0.05831649999890942,98
10,Griewank,PSO,PSO_estandar,25,0.2620530713227147,0.058801999999559484,98
10,Griewank,PSO,PSO_estandar,26,0.12531422859034858,0.058226499997545034,97
10,Griewank,PSO,PSO_estandar,27,0.30838106614115746,0.05827220000355737,95
10,Griewank,PSO,PSO_estandar,28,0.46162186801815874,0.058625400000892114,95
10,Griewank,PSO,PSO_estandar,29,0.09344710900514963,0.058361499999591615,98
10,Griewank,PSO,PSO_exploracion,0,28.576126655247617,0.05889520000346238,44
10,Griewank,PSO,PSO_exploracion,1,19.932791407753587,0.05825580000237096,57
10,Griewank,PSO,PSO_exploracion,2,15.313236461183957,0.05788879999454366,37
10,Griewank,PSO,PSO_exploracion,3,24.86328746547412,0.05809620000218274,90
10,Griewank,PSO,PSO_exploracion,4,14.590113518632002,0.058015999995404854,52
10,Griewank,PSO,PSO_exploracion,5,5.8510033401453425,0.05886569999711355,70
10,Griewank,PSO,PSO_exploracion,6,84.84185021106732,0.05837539999629371,99
10,Griewank,PSO,PSO_exploracion,7,28.349515446068636,0.05811309999990044,59
10,Griewank,PSO,PSO_exploracion,8,19.29205758503176,0.05854720000206726,73
10,Griewank,PSO,PSO_exploracion,9,28.095342271432923,0.05761759999586502,55
10,Griewank,PSO,PSO_exploracion,10,21.15597137305413,0.057638599995698314,91
10,Griewank,PSO,PSO_exploracion,11,22.43435395993236,0.05800189999717986,63
10,Griewank,PSO,PSO_exploracion,12,32.55994093842466,0.057983700004115235,42
10,Griewank,PSO,PSO_exploracion,13,10.891106355685153,0.05769919999875128,32
10,Griewank,PSO,PSO_exploracion,14,30.03433194114738,0.057705999999598134,63
10,Griewank,PSO,PSO_exploracion,15,35.843554337381754,0.05854160000308184,42
10,Griewank,PSO,PSO_exploracion,16,28.097228070462343,0.05779840000468539,90
10,Griewank,PSO,PSO_exploracion,17,32.16201561578788,0.05765840000094613,91
10,Griewank,PSO,PSO_exploracion,18,36.853597142354914,0.057737399998586625,65
10,Griewank,PSO,PSO_exploracion,19,34.13743294996712,0.05772799999976996,21
10,Griewank,PSO,PSO_exploracion,20,27.0186794130866,0.05783379999775207,73
10,Griewank,PSO,PSO_exploracion,21,16.968574430722263,0.05824450000363868,18
10,Griewank,PSO,PSO_exploracion,22,17.11582791235182,0.05782980000367388,25
10,Griewank,PSO,PSO_exploracion,23,20.27247469904493,0.057971700000052806,39
10,Griewank,PSO,PSO_exploracion,24,21.649734805783776,0.057761500000196975,66
10,Griewank,PSO,PSO_exploracion,25,27.284510369720234,0.057816600005025975,68
10,Griewank,PSO,PSO_exploracion,26,36.676171780044996,0.0579682999959914,48
10,Griewank,PSO,PSO_exploracion,27,17.2635897290422,0.058184300003631506,34
10,Griewank,PSO,PSO_exploracion,28,27.610955680565777,0.057943099993281066,19
10,Griewank,PSO,PSO_exploracion,29,23.12697799150555,0.05838919999951031,97
10,Griewank,PSO,PSO_explotacion,0,9.082241691318233,0.05797110000276007,99
10,Griewank,PSO,PSO_explotacion,1,3.258033585074473,0.057838300002913456,99
10,Griewank,PSO,PSO_explotacion,2,3.701545323771622,0.058332699998572934,99
10,Griewank,PSO,PSO_explotacion,3,11.644369911083459,0.05802770000445889,99
10,Griewank,PSO,PSO_explotacion,4,1.297705039755923,0.05796860000555171,99
10,Griewank,PSO,PSO_explotacion,5,0.5192294261544665,0.058005699997011106,99
10,Griewank,PSO,PSO_explotacion,6,3.6366081244097495,0.05784049999783747,99
10,Griewank,PSO,PSO_explotacion,7,6.184549559619385,0.05813859999761917,99
10,Griewank,PSO,PSO_explotacion,8,4.99398623793005,0.058085899996513035,99
10,Griewank,PSO,PSO_explotacion,9,1.149313967776148,0.05809380000573583,99
10,Griewank,PSO,PSO_explotacion,10,1.4155663633434332,0.05784990000393009,99
10,Griewank,PSO,PSO_explotacion,11,1.1116851552794993,0.05790819999674568,97
10,Griewank,PSO,PSO_explotacion,12,1.1568048686023191,0.05813510000007227,99
10,Griewank,PSO,PSO_explotacion,13,1.555547267434612,0.05905679999705171,99
10,Griewank,PSO,PSO_explotacion,14,5.063016270614104,0.05875010000454495,99
10,Griewank,PSO,PSO_explotacion,15,1.8588678612818677,0.05816509999567643,99
10,Griewank,PSO,PSO_explotacion,16,2.9844364726803914,0.058098199995583855,99
10,Griewank,PSO,PSO_explotacion,17,2.079439124562649,0.05820110000058776,99
10,Griewank,PSO,PSO_explotacion,18,2.536261550081462,0.05813739999575773,99
10,Griewank,PSO,PSO_explotacion,19,0.9955430225122774,0.058463000001211185,99
10,Griewank,PSO,PSO_explotacion,20,2.3802058546587874,0.058356699999421835,99
10,Griewank,PSO,PSO_explotacion,21,2.614738544561651,0.05835989999468438,99
10,Griewank,PSO,PSO_explotacion,22,2.5853389753202016,0.05821490000380436,99
